Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
Castilla y Leon,Spain,14/11/2022 04:21,41.8357,-4.3976,833789,9216,,,"Castilla y Leon, Spain",34629.62878,1.105315613
Catalonia,Spain,14/11/2022 04:21,41.5912,1.5209,2651464,20551,,,"Catalonia, Spain",35042.46586,0.775081238
Ceuta,Spain,14/11/2022 04:21,35.8894,-5.3213,24329,188,,,"Ceuta, Spain",28680.05045,0.772740351
Extremadura,Spain,14/11/2022 04:21,39.4937,-6.0679,306122,2654,,,"Extremadura, Spain",28732.41076,0.866974605
Galicia,Spain,14/11/2022 04:21,42.5751,-8.1339,737034,3942,,,"Galicia, Spain",27293.09768,0.534846425
La Rioja,Spain,14/11/2022 04:21,42.2871,-2.5396,109930,956,,,"La Rioja, Spain",35057.4511,0.869644319
Madrid,Spain,14/11/2022 04:21,40.4168,-3.7038,1949944,19930,,,"Madrid, Spain",29359.33531,1.022080634
Melilla,Spain,14/11/2022 04:21,35.2923,-2.9381,24949,168,,,"Melilla, Spain",29459.55201,0.673373682
Murcia,Spain,14/11/2022 04:21,37.9922,-1.1307,460080,2479,,,"Murcia, Spain",30926.35899,0.538819336
Navarra,Spain,14/11/2022 04:21,42.6954,-1.6761,256203,1720,,,"Navarra, Spain",39419.12097,0.671342646
Pais Vasco,Spain,14/11/2022 04:21,42.9896,-2.6189,782330,7455,,,"Pais Vasco, Spain",35921.63021,0.95292268
Unknown,Spain,14/11/2022 04:21,,,0,0,,,"Unknown, Spain",,
,Sri Lanka,14/11/2022 04:21,7.873054,80.771797,671417,16784,,,Sri Lanka,3135.521231,2.499787762
,Sudan,14/11/2022 04:21,12.8628,30.2176,63561,4980,,,Sudan,144.9533857,7.834993156
,Summer Olympics 2020,14/11/2022 04:21,35.6491,139.7737,865,0,,,Summer Olympics 2020,,0
,Suriname,14/11/2022 04:21,3.9193,-56.0278,81228,1392,,,Suriname,13846.45281,1.713694785
Blekinge,Sweden,14/11/2022 04:21,56.2784,15.018,30902,186,,,"Blekinge, Sweden",19361.42752,0.601902789
Dalarna,Sweden,14/11/2022 04:21,61.0917,14.6664,75528,547,,,"Dalarna, Sweden",26228.09637,0.724234721
Gavleborg,Sweden,14/11/2022 04:21,61.3012,16.1534,74866,759,,,"Gavleborg, Sweden",26051.04008,1.013811343
Gotland,Sweden,14/11/2022 04:21,57.4684,18.4867,11887,83,,,"Gotland, Sweden",19915.89317,0.698241777
Halland,Sweden,14/11/2022 04:21,56.8967,12.8034,109187,524,,,"Halland, Sweden",32705.60255,0.479910612
Jamtland Harjedalen,Sweden,14/11/2022 04:21,63.1712,14.9592,34437,205,,,"Jamtland Harjedalen, Sweden",26325.96896,0.59528995
Jonkoping,Sweden,14/11/2022 04:21,57.3708,14.3439,89934,761,,,"Jonkoping, Sweden",24734.39146,0.846176085
Kalmar,Sweden,14/11/2022 04:21,57.235,16.1849,63090,391,,,"Kalmar, Sweden",25704.22822,0.619749564
Kronoberg,Sweden,14/11/2022 04:21,56.7183,14.4115,51686,413,,,"Kronoberg, Sweden",25654.5672,0.799055837
Norrbotten,Sweden,14/11/2022 04:21,66.8309,20.3992,50986,478,,,"Norrbotten, Sweden",20386.8161,0.937512258
Orebro,Sweden,14/11/2022 04:21,59.535,15.0066,99485,532,,,"Orebro, Sweden",32638.90028,0.534753983
Ostergotland,Sweden,14/11/2022 04:21,58.3454,15.5198,99006,900,,,"Ostergotland, Sweden",21268.97174,0.909035816
Skane,Sweden,14/11/2022 04:21,55.9903,13.5958,347424,2604,,,"Skane, Sweden",25215.35723,0.749516441
Sormland,Sweden,14/11/2022 04:21,59.0336,16.7519,68181,665,,,"Sormland, Sweden",22914.9022,0.975345037
Stockholm,Sweden,14/11/2022 04:21,59.6025,18.1384,607732,5677,,,"Stockholm, Sweden",25566.31432,0.934128859
Uppsala,Sweden,14/11/2022 04:21,60.0092,17.2715,94035,726,,,"Uppsala, Sweden",24506.59738,0.772052959
Varmland,Sweden,14/11/2022 04:21,59.7294,13.2354,69520,418,,,"Varmland, Sweden",24616.34338,0.601265823
Vasterbotten,Sweden,14/11/2022 04:21,65.3337,16.5162,60533,396,,,"Vasterbotten, Sweden",22276.40062,0.654188624
Vasternorrland,Sweden,14/11/2022 04:21,63.4276,17.7292,56509,687,,,"Vasternorrland, Sweden",23032.27673,1.215735547
Vastmanland,Sweden,14/11/2022 04:21,59.6714,16.2159,78731,537,,,"Vastmanland, Sweden",28541.75352,0.682069325
Vastra Gotaland,Sweden,14/11/2022 04:21,58.2528,13.0596,445029,3368,,,"Vastra Gotaland, Sweden",25785.61326,0.756804613
,Switzerland,14/11/2022 04:21,46.8182,8.2275,4276848,14097,,,Switzerland,49416.94711,0.329611901
,Syria,14/11/2022 04:21,34.802075,38.996815,57378,3163,,,Syria,327.8619768,5.512565792
,Taiwan*,14/11/2022 04:21,23.7,121,8034295,13562,,,Taiwan*,33733.76538,0.16880137
,Tajikistan,14/11/2022 04:21,38.861,71.2761,17786,125,,,Tajikistan,186.4821515,0.702799955
,Tanzania,14/11/2022 04:21,-6.369028,34.888822,40152,845,,,Tanzania,67.21776011,2.104502889
,Thailand,14/11/2022 04:21,15.870032,100.992541,4698373,33037,,,Thailand,6731.195531,0.703158306
,Timor-Leste,14/11/2022 04:21,-8.874217,125.727539,23312,138,,,Timor-Leste,1768.147556,0.591969801
,Togo,14/11/2022 04:21,8.6195,0.8248,39319,290,,,Togo,474.9395953,0.737556906
,Tonga,14/11/2022 04:21,-21.179,-175.1982,16182,12,,,Tonga,15309.80066,0.07415647
,Trinidad and Tobago,14/11/2022 04:21,10.6918,-61.2225,184949,4257,,,Trinidad and Tobago,13215.44762,2.301715608
,Tunisia,14/11/2022 04:21,33.886917,9.537499,1146702,29263,,,Tunisia,9702.50498,2.551927179
,Turkey,07/11/2022 23:20,38.9637,35.2433,16919638,101203,,,Turkey,20061.44792,0.598139275
,Tuvalu,14/11/2022 04:21,-7.1095,177.6493,1259,0,,,Tuvalu,1382.29308,0
Alabama,US,14/11/2022 04:21,32.53952745,-86.64408227,18571,229,,,"Autauga, Alabama, US",33240.25846,1.233105379
Alabama,US,14/11/2022 04:21,30.72774991,-87.72207058,66213,716,,,"Baldwin, Alabama, US",29660.80436,1.081358646
Alabama,US,14/11/2022 04:21,31.868263,-85.3871286,6950,103,,,"Barbour, Alabama, US",28153.60933,1.482014388
Alabama,US,14/11/2022 04:21,32.99642064,-87.1251146,7604,108,,,"Bibb, Alabama, US",33955.5238,1.420305103
Alabama,US,14/11/2022 04:21,33.98210918,-86.56790593,17386,258,,,"Blount, Alabama, US",30066.06025,1.483952606
Alabama,US,14/11/2022 04:21,32.10030533,-85.71265535,2845,54,,,"Bullock, Alabama, US",28165.52817,1.898066784
Alabama,US,14/11/2022 04:21,31.75300095,-86.68057478,6072,130,,,"Butler, Alabama, US",31221.71946,2.140974967
Alabama,US,14/11/2022 04:21,33.77483727,-85.82630386,38716,661,,,"Calhoun, Alabama, US",34079.48594,1.707304474
Alabama,US,14/11/2022 04:21,32.91360079,-85.39072749,10078,169,,,"Chambers, Alabama, US",30306.12859,1.676920024
Alabama,US,14/11/2022 04:21,34.17805983,-85.60638968,6100,87,,,"Cherokee, Alabama, US",23285.99786,1.426229508
Alabama,US,14/11/2022 04:21,32.85044126,-86.7173256,12466,214,,,"Chilton, Alabama, US",28058.88179,1.716669341
Alabama,US,14/11/2022 04:21,32.02227341,-88.2656443,2195,39,,,"Choctaw, Alabama, US",17435.8567,1.776765376
Alabama,US,14/11/2022 04:21,31.68099859,-87.83548597,8066,106,,,"Clarke, Alabama, US",34146.13496,1.314158195
Alabama,US,14/11/2022 04:21,33.26984193,-85.85836077,4825,90,,,"Clay, Alabama, US",36456.3657,1.865284974
Alabama,US,14/11/2022 04:21,33.67679204,-85.52005899,4176,71,,,"Cleburne, Alabama, US",28008.04829,1.700191571
Alabama,US,14/11/2022 04:21,31.39932826,-85.98901039,16142,243,,,"Coffee, Alabama, US",30839.47881,1.505389667
Alabama,US,14/11/2022 04:21,34.69847452,-87.80168544,19735,271,,,"Colbert, Alabama, US",35725.27652,1.373194832
Alabama,US,14/11/2022 04:21,31.43401703,-86.99320044,3357,73,,,"Conecuh, Alabama, US",27819.67349,2.17456062
Alabama,US,14/11/2022 04:21,32.93690146,-86.24847739,3529,62,,,"Coosa, Alabama, US",33095.75166,1.756871635
Alabama,US,14/11/2022 04:21,31.2477854,-86.45050893,11041,254,,,"Covington, Alabama, US",29801.07425,2.300516258
Alabama,US,14/11/2022 04:21,31.72941803,-86.31593104,4414,108,,,"Crenshaw, Alabama, US",32050.53732,2.446760308
Alabama,US,14/11/2022 04:21,34.13020303,-86.86888037,29670,384,,,"Cullman, Alabama, US",35419.25318,1.294236603
Alabama,US,14/11/2022 04:21,31.43037123,-85.61095742,15564,244,,,"Dale, Alabama, US",31652.15977,1.56772038
Alabama,US,14/11/2022 04:21,32.32688101,-87.1086671,10182,255,,,"Dallas, Alabama, US",27373.91117,2.504419564
Alabama,US,14/11/2022 04:21,34.45946862,-85.80782906,21433,343,,,"DeKalb, Alabama, US",29970.77454,1.600335931
Alabama,US,14/11/2022 04:21,32.59785413,-86.14415284,27947,358,,,"Elmore, Alabama, US",34413.67336,1.280996171
Alabama,US,14/11/2022 04:21,31.1256789,-87.15918694,11677,178,,,"Escambia, Alabama, US",31875.63126,1.524364135
Alabama,US,14/11/2022 04:21,34.04567266,-86.04051873,32619,684,,,"Etowah, Alabama, US",31895.60762,2.096937368
Alabama,US,14/11/2022 04:21,33.72076938,-87.73886638,5620,98,,,"Fayette, Alabama, US",34474.29763,1.743772242
Alabama,US,14/11/2022 04:21,34.44235334,-87.84289505,11394,148,,,"Franklin, Alabama, US",36330.59116,1.298929261
Alabama,US,14/11/2022 04:21,31.09389027,-85.83572839,7512,171,,,"Geneva, Alabama, US",28594.26744,2.276357827
Alabama,US,14/11/2022 04:21,32.85504247,-87.95684022,2151,52,,,"Greene, Alabama, US",26519.54136,2.417480242
Alabama,US,14/11/2022 04:21,32.76039258,-87.63284988,5406,109,,,"Hale, Alabama, US",36898.50522,2.016278209
Alabama,US,14/11/2022 04:21,31.51148016,-85.24267944,5508,79,,,"Henry, Alabama, US",32013.94943,1.434277415
Alabama,US,14/11/2022 04:21,31.15197924,-85.29939599,30565,526,,,"Houston, Alabama, US",28867.04067,1.720922624
Alabama,US,14/11/2022 04:21,34.78144169,-85.99750489,17169,251,,,"Jackson, Alabama, US",33256.49866,1.461937212
Alabama,US,14/11/2022 04:21,33.55554728,-86.895063,221687,2480,,,"Jefferson, Alabama, US",33661.72011,1.118694375
Alabama,US,14/11/2022 04:21,33.77995024,-88.09668032,4491,69,,,"Lamar, Alabama, US",32531.69142,1.536406146
Alabama,US,14/11/2022 04:21,34.90171875,-87.65624729,28618,411,,,"Lauderdale, Alabama, US",30861.97414,1.436159061
Alabama,US,14/11/2022 04:21,34.52041498,-87.31069453,8967,174,,,"Lawrence, Alabama, US",27235.45134,1.94044831
Alabama,US,14/11/2022 04:21,32.60154883,-85.35132246,44471,359,,,"Lee, Alabama, US",27027.14201,0.807267658
Alabama,US,14/11/2022 04:21,34.81185586,-86.98310072,30089,308,,,"Limestone, Alabama, US",30419.04666,1.023629898
Alabama,US,14/11/2022 04:21,32.1597283,-86.65158371,3087,80,,,"Lowndes, Alabama, US",31739.66687,2.591512796
Alabama,US,14/11/2022 04:21,32.38759944,-85.69267724,4824,89,,,"Macon, Alabama, US",26699.1366,1.844941957
Alabama,US,14/11/2022 04:21,34.76327133,-86.55069633,108883,1033,,,"Madison, Alabama, US",29198.27626,0.948724778
Alabama,US,14/11/2022 04:21,32.24767634,-87.78796182,5840,114,,,"Marengo, Alabama, US",30960.08058,1.952054795
Alabama,US,14/11/2022 04:21,34.13697363,-87.88704173,9491,156,,,"Marion, Alabama, US",31946.54818,1.643662417
Alabama,US,14/11/2022 04:21,34.36975964,-86.30486727,31200,405,,,"Marshall, Alabama, US",32240.06448,1.298076923
Alabama,US,14/11/2022 04:21,30.78472347,-88.20842409,128838,1753,,,"Mobile, Alabama, US",31179.78752,1.360623419
Alabama,US,14/11/2022 04:21,31.56729412,-87.36995001,6209,85,,,"Monroe, Alabama, US",29947.42681,1.368980512
Alabama,US,14/11/2022 04:21,32.2206831,-86.20969272,67493,1000,,,"Montgomery, Alabama, US",29800.07594,1.481635133
Alabama,US,14/11/2022 04:21,34.45500589,-86.85475946,43597,538,,,"Morgan, Alabama, US",36428.27898,1.234029864
Alabama,US,21/12/2020 13:27,,,0,0,,,"Out of AL, Alabama, US",,
Alabama,US,14/11/2022 04:21,32.64048341,-87.29770589,2514,49,,,"Perry, Alabama, US",28174.38081,1.949085123
Alabama,US,14/11/2022 04:21,33.28094866,-88.08818103,6042,112,,,"Pickens, Alabama, US",30316.10637,1.853690831
Alabama,US,14/11/2022 04:21,31.80396383,-85.9408295,8805,140,,,"Pike, Alabama, US",26589.96195,1.590005679
Alabama,US,14/11/2022 04:21,33.29526734,-85.45708831,6046,77,,,"Randolph, Alabama, US",26608.57319,1.273569302
Alabama,US,14/11/2022 04:21,32.28725256,-85.18415324,12120,98,,,"Russell, Alabama, US",20910.61231,0.808580858
Alabama,US,14/11/2022 04:21,33.26879845,-86.66232561,72400,473,,,"Shelby, Alabama, US",33256.46985,0.653314917
Alabama,US,14/11/2022 04:21,33.71902176,-86.31029372,30628,434,,,"St. Clair, Alabama, US",34216.64134,1.417004049
Alabama,US,14/11/2022 04:21,32.59117397,-88.19916205,3002,55,,,"Sumter, Alabama, US",24157.07733,1.832111925
Alabama,US,14/11/2022 04:21,33.37823223,-86.16886178,26944,390,,,"Talladega, Alabama, US",33689.26455,1.447446556
Alabama,US,14/11/2022 04:21,32.86698258,-85.79833053,13672,249,,,"Tallapoosa, Alabama, US",33869.24963,1.821240492
Alabama,US,14/11/2022 04:21,33.28726072,-87.52556818,66444,831,,,"Tuscaloosa, Alabama, US",31737.4794,1.250677262
Alabama,US,21/12/2020 13:27,,,0,0,,,"Unassigned, Alabama, US",,
Alabama,US,14/11/2022 04:21,33.80270512,-87.30027177,22511,474,,,"Walker, Alabama, US",35438.67382,2.105637244
Alabama,US,14/11/2022 04:21,31.4092794,-88.20689944,4186,60,,,"Washington, Alabama, US",25640.0833,1.433349259
Alabama,US,14/11/2022 04:21,31.98773215,-87.30891118,3457,48,,,"Wilcox, Alabama, US",33326.90639,1.388487128
Alabama,US,14/11/2022 04:21,34.15030532,-87.37325922,8875,138,,,"Winston, Alabama, US",37559.77824,1.554929577
Alaska,US,14/11/2022 04:21,55.32222414,-161.9722021,1311,4,,,"Aleutians East, Alaska, US",39286.78454,0.305110603
Alaska,US,14/11/2022 04:21,52.3233,-174.1596,1892,3,,,"Aleutians West, Alaska, US",33581.82464,0.158562368
Alaska,US,14/11/2022 04:21,61.14998174,-149.1426986,121227,586,,,"Anchorage, Alaska, US",42092.70833,0.483390664
Alaska,US,14/11/2022 04:21,60.90980451,-159.8561831,12228,46,,,"Bethel, Alaska, US",66507.12499,0.376185803
Alaska,US,14/11/2022 04:21,58.74513976,-156.701064,0,0,,,"Bristol Bay, Alaska, US",0,
Alaska,US,14/11/2022 04:21,58.62403337,-156.2140589,1217,1,,,"Bristol Bay plus Lake and Peninsula, Alaska, US",50123.55848,0.082169269
Alaska,US,14/11/2022 04:21,61.16666,-149.9,2387,12,,,"Chugach, Alaska, US",35357.72478,0.502723083
Alaska,US,14/11/2022 04:21,60.3886,-162.8905196,1277,10,,,"Copper River, Alaska, US",47313.81993,0.783085356
Alaska,US,14/11/2022 04:21,63.67264044,-150.0076108,1797,2,,,"Denali, Alaska, US",85693.84835,0.111296605
Alaska,US,14/11/2022 04:21,59.79603738,-158.2381942,2191,12,,,"Dillingham, Alaska, US",44568.75509,0.547695116
Alaska,US,14/11/2022 04:21,64.80726247,-146.5692662,32862,161,,,"Fairbanks North Star, Alaska, US",33931.1712,0.489927576
Alaska,US,14/11/2022 04:21,59.09893571,-135.4679843,788,1,,,"Haines, Alaska, US",31146.24506,0.126903553
Alaska,US,14/11/2022 04:21,58.45031811,-134.200436,11620,27,,,"Juneau, Alaska, US",36342.0279,0.232358003
Alaska,US,14/11/2022 04:21,60.24429722,-151.5388884,22144,121,,,"Kenai Peninsula, Alaska, US",37718.87988,0.54642341
Alaska,US,14/11/2022 04:21,55.57445008,-130.975561,5050,27,,,"Ketchikan Gateway, Alaska, US",36328.3217,0.534653465
Alaska,US,14/11/2022 04:21,57.65529415,-153.7493579,5716,12,,,"Kodiak Island, Alaska, US",43975.99631,0.209937019
Alaska,US,14/11/2022 04:21,62.1542916,-163.3967883,4702,15,,,"Kusilvak, Alaska, US",56555.20808,0.319013186
Alaska,US,14/11/2022 04:21,62.31305045,-149.5741743,39983,265,,,"Matanuska-Susitna, Alaska, US",36912.94995,0.662781682
Alaska,US,14/11/2022 04:21,64.90320724,-164.0353804,6876,7,,,"Nome, Alaska, US",68732.507,0.101803374
Alaska,US,14/11/2022 04:21,69.31479216,-153.4836093,5277,16,,,"North Slope, Alaska, US",53671.6843,0.303202577
Alaska,US,14/11/2022 04:21,67.04919196,-159.7503946,5568,20,,,"Northwest Arctic, Alaska, US",73061.27805,0.359195402
Alaska,US,14/11/2022 04:21,57.13978948,-132.9540995,912,7,,,"Petersburg, Alaska, US",27924.06614,0.76754386
Alaska,US,14/11/2022 04:21,55.76261984,-133.0511621,1782,10,,,"Prince of Wales-Hyder, Alaska, US",28728.03482,0.561167228
Alaska,US,14/11/2022 04:21,57.24124555,-135.3206587,3385,9,,,"Sitka, Alaska, US",39856.35229,0.265878877
Alaska,US,14/11/2022 04:21,59.56149996,-135.3337748,675,0,,,"Skagway, Alaska, US",57058.32629,0
Alaska,US,14/11/2022 04:21,63.87692095,-143.2127643,2385,21,,,"Southeast Fairbanks, Alaska, US",34600.31916,0.880503145
Alaska,US,14/11/2022 04:21,,,10,0,,,"Unassigned, Alaska, US",,0
Alaska,US,14/11/2022 04:21,61.47502768,-144.7126799,0,0,,,"Valdez-Cordova, Alaska, US",0,
Alaska,US,14/11/2022 04:21,56.3202004,-132.0583731,767,1,,,"Wrangell, Alaska, US",30655.47562,0.130378096
Alaska,US,14/11/2022 04:21,59.8909808,-140.3601451,939,5,,,"Yakutat, Alaska, US",34433.44334,0.532481363
Alaska,US,14/11/2022 04:21,65.50815459,-151.3907387,1683,12,,,"Yukon-Koyukuk, Alaska, US",32179.73231,0.713012478
American Samoa,US,14/11/2022 04:21,-14.271,-170.132,8260,34,,,"American Samoa, US",14845.16813,0.411622276
Arizona,US,14/11/2022 04:21,35.39465006,-109.4892383,32939,627,,,"Apache, Arizona, US",45820.52388,1.903518625
Arizona,US,14/11/2022 04:21,31.87934684,-109.7516088,36747,598,,,"Cochise, Arizona, US",29182.35098,1.627343729
Arizona,US,14/11/2022 04:21,35.83883429,-111.7707178,50628,504,,,"Coconino, Arizona, US",35286.73785,0.995496563
Arizona,US,14/11/2022 04:21,33.80190085,-110.8132779,20094,401,,,"Gila, Arizona, US",37198.71154,1.995620583
Arizona,US,14/11/2022 04:21,32.93166885,-109.8882178,13508,184,,,"Graham, Arizona, US",34781.26529,1.36215576
Arizona,US,14/11/2022 04:21,33.21498827,-109.2405279,2499,39,,,"Greenlee, Arizona, US",26310.80227,1.56062425
Arizona,US,14/11/2022 04:21,33.72854224,-113.9810029,5781,152,,,"La Paz, Arizona, US",27387.7203,2.629302889
Arizona,US,14/11/2022 04:21,33.34835867,-112.4918154,1440250,18052,,,"Maricopa, Arizona, US",32109.63358,1.253393508
Arizona,US,14/11/2022 04:21,35.70471703,-113.7577902,64412,1568,,,"Mohave, Arizona, US",30357.10078,2.434329007
Arizona,US,14/11/2022 04:21,35.3997715,-110.3218983,45084,947,,,"Navajo, Arizona, US",40644.04457,2.100523467
Arizona,US,14/11/2022 04:21,,,0,0,,,"Out of AZ, Arizona, US",,
Arizona,US,14/11/2022 04:21,32.0971334,-111.7890033,296396,4040,,,"Pima, Arizona, US",28301.53187,1.363041337
Arizona,US,14/11/2022 04:21,32.90525627,-111.3449483,149052,1740,,,"Pinal, Arizona, US",32207.33423,1.167377828
Arizona,US,14/11/2022 04:21,31.52508998,-110.8479088,18666,239,,,"Santa Cruz, Arizona, US",40143.66209,1.280402872
Arizona,US,14/11/2022 04:21,,,0,0,,,"Unassigned, Arizona, US",,
Arizona,US,14/11/2022 04:21,34.59933926,-112.5538588,56167,1302,,,"Yavapai, Arizona, US",23890.78643,2.318087133
Arizona,US,14/11/2022 04:21,32.76895712,-113.9066674,68152,1220,,,"Yuma, Arizona, US",31878.45847,1.790116211
Arkansas,US,14/11/2022 04:21,34.29145151,-91.37277296,6707,90,,,"Arkansas, Arkansas, US",38356.39941,1.341881616
Arkansas,US,14/11/2022 04:21,33.19153461,-91.7698471,5928,80,,,"Ashley, Arkansas, US",30157.19591,1.349527665
Arkansas,US,14/11/2022 04:21,36.28784385,-92.33782872,10302,274,,,"Baxter, Arkansas, US",24568.34876,2.659677732
Arkansas,US,14/11/2022 04:21,36.33644656,-94.25680817,74467,940,,,"Benton, Arkansas, US",26677.19898,1.262304108
Arkansas,US,14/11/2022 04:21,36.3084504,-93.09374925,10760,195,,,"Boone, Arkansas, US",28745.45843,1.812267658
Arkansas,US,14/11/2022 04:21,33.46755808,-92.15980837,3458,56,,,"Bradley, Arkansas, US",32128.58868,1.619433198
Arkansas,US,14/11/2022 04:21,33.55598792,-92.49974403,1154,14,,,"Calhoun, Arkansas, US",22239.35248,1.213171577
Arkansas,US,14/11/2022 04:21,36.3403856,-93.54270261,7021,119,,,"Carroll, Arkansas, US",24739.253,1.694915254
Arkansas,US,14/11/2022 04:21,33.26458973,-91.29539209,3058,63,,,"Chicot, Arkansas, US",30223.3643,2.060170046
Arkansas,US,14/11/2022 04:21,34.04613432,-93.17484713,6182,89,,,"Clark, Arkansas, US",27697.13262,1.439663539
Arkansas,US,14/11/2022 04:21,36.36826212,-90.4148172,4769,100,,,"Clay, Arkansas, US",32774.37977,2.096875655
Arkansas,US,14/11/2022 04:21,35.53864922,-92.02640019,7628,142,,,"Cleburne, Arkansas, US",30611.18022,1.861562664
Arkansas,US,14/11/2022 04:21,33.89723187,-92.18537045,2581,40,,,"Cleveland, Arkansas, US",32440.92509,1.549786904
Arkansas,US,14/11/2022 04:21,33.21230701,-93.22642793,6411,103,,,"Columbia, Arkansas, US",27330.86072,1.606613633
Arkansas,US,14/11/2022 04:21,35.26205537,-92.70506566,6188,74,,,"Conway, Arkansas, US",29684.35191,1.195862961
Arkansas,US,14/11/2022 04:21,35.83018283,-90.63235729,44510,365,,,"Craighead, Arkansas, US",40341.87724,0.82004044
Arkansas,US,14/11/2022 04:21,35.58928601,-94.2446814,18006,279,,,"Crawford, Arkansas, US",28464.83393,1.549483505
Arkansas,US,14/11/2022 04:21,35.21247318,-90.30839406,16024,239,,,"Crittenden, Arkansas, US",33414.65958,1.491512731
Arkansas,US,14/11/2022 04:21,35.29631396,-90.77185818,5555,98,,,"Cross, Arkansas, US",33832.75474,1.764176418
Arkansas,US,14/11/2022 04:21,33.97042763,-92.65167437,1995,38,,,"Dallas, Arkansas, US",28463.40419,1.904761905
Arkansas,US,14/11/2022 04:21,33.83011025,-91.25500948,3516,43,,,"Desha, Arkansas, US",30947.97993,1.22298066
Arkansas,US,14/11/2022 04:21,33.59035001,-91.71777921,5355,78,,,"Drew, Arkansas, US",29392.39256,1.456582633
Arkansas,US,14/11/2022 04:21,35.14719007,-92.33717519,41081,348,,,"Faulkner, Arkansas, US",32602.15702,0.847106935
Arkansas,US,14/11/2022 04:21,35.51202821,-93.89299569,4289,79,,,"Franklin, Arkansas, US",24211.12052,1.841921194
Arkansas,US,14/11/2022 04:21,36.38177105,-91.81729127,3015,97,,,"Fulton, Arkansas, US",24164.46261,3.217247098
Arkansas,US,14/11/2022 04:21,34.57692074,-93.14921604,26214,555,,,"Garland, Arkansas, US",26375.94832,2.117189288
Arkansas,US,14/11/2022 04:21,34.29017991,-92.42320562,5023,65,,,"Grant, Arkansas, US",27500.68437,1.294047382
Arkansas,US,14/11/2022 04:21,36.1173546,-90.55832668,18530,189,,,"Greene, Arkansas, US",40882.51517,1.01996762
Arkansas,US,14/11/2022 04:21,33.73325583,-93.66935133,5395,78,,,"Hempstead, Arkansas, US",25055.73101,1.445783133
Arkansas,US,14/11/2022 04:21,34.31709259,-92.95396325,12642,155,,,"Hot Spring, Arkansas, US",37434.48521,1.226071824
Arkansas,US,14/11/2022 04:21,34.09007427,-93.9934871,4441,57,,,"Howard, Arkansas, US",33638.8426,1.283494708
Arkansas,US,14/11/2022 04:21,35.74242707,-91.57001641,12253,226,,,"Independence, Arkansas, US",32393.91937,1.844446258
Arkansas,US,14/11/2022 04:21,36.09604046,-91.90847954,4521,77,,,"Izard, Arkansas, US",33171.91283,1.703163017
Arkansas,US,14/11/2022 04:21,35.59802983,-91.21494602,6957,74,,,"Jackson, Arkansas, US",41611.34039,1.063676872
Arkansas,US,14/11/2022 04:21,34.26767081,-91.92619839,21579,308,,,"Jefferson, Arkansas, US",32292.2902,1.427313592
Arkansas,US,14/11/2022 04:21,35.56759135,-93.46036368,7808,97,,,"Johnson, Arkansas, US",29377.68079,1.242315574
Arkansas,US,14/11/2022 04:21,33.24116713,-93.60677071,1450,30,,,"Lafayette, Arkansas, US",21890.09662,2.068965517
Arkansas,US,14/11/2022 04:21,36.04188196,-91.10867198,6200,87,,,"Lawrence, Arkansas, US",37791.05205,1.403225806
Arkansas,US,14/11/2022 04:21,34.78498904,-90.78383866,3262,66,,,"Lee, Arkansas, US",36829.62628,2.02329859
Arkansas,US,14/11/2022 04:21,33.95317155,-91.74002806,5304,70,,,"Lincoln, Arkansas, US",40724.81572,1.319758673
Arkansas,US,14/11/2022 04:21,33.70375665,-94.23468591,3757,108,,,"Little River, Arkansas, US",30646.87169,2.874634017
Arkansas,US,14/11/2022 04:21,35.21413234,-93.71951016,5793,85,,,"Logan, Arkansas, US",26986.86295,1.467288106
Arkansas,US,14/11/2022 04:21,34.75392199,-91.88742357,23043,266,,,"Lonoke, Arkansas, US",31432.70267,1.154363581
Arkansas,US,14/11/2022 04:21,36.01038185,-93.72524943,4659,65,,,"Madison, Arkansas, US",28106.90154,1.395149174
Arkansas,US,14/11/2022 04:21,36.26844485,-92.68451899,3949,94,,,"Marion, Arkansas, US",23655.20546,2.380349456
Arkansas,US,14/11/2022 04:21,33.31403423,-93.89285258,11116,199,,,"Miller, Arkansas, US",25697.57496,1.790212307
Arkansas,US,14/11/2022 04:21,35.76271485,-90.0519437,15664,226,,,"Mississippi, Arkansas, US",38532.87742,1.442798774
Arkansas,US,14/11/2022 04:21,34.6815935,-91.20540287,2238,37,,,"Monroe, Arkansas, US",33398.0003,1.653261841
Arkansas,US,14/11/2022 04:21,34.53704874,-93.65824478,1733,63,,,"Montgomery, Arkansas, US",19285.55531,3.635314484
Arkansas,US,14/11/2022 04:21,33.66340119,-93.30632432,2616,46,,,"Nevada, Arkansas, US",31701.40572,1.758409786
Arkansas,US,14/11/2022 04:21,35.91947491,-93.21612969,1960,51,,,"Newton, Arkansas, US",25280.53657,2.602040816
Arkansas,US,14/11/2022 04:21,33.58839816,-92.87795984,6498,119,,,"Ouachita, Arkansas, US",27790.60816,1.831332718
Arkansas,US,14/11/2022 04:21,34.9459153,-92.94372564,2879,41,,,"Perry, Arkansas, US",27537.06361,1.424105592
Arkansas,US,14/11/2022 04:21,34.43268455,-90.84800154,5662,103,,,"Phillips, Arkansas, US",31841.18772,1.819145178
